"Year","Source","landings_mt"
"1960","CanadaTotal","3144"
"1961","CanadaTotal","2733"
"1962","CanadaTotal","2889"
"1963","CanadaTotal","2215"
"1964","CanadaTotal","1954"
"1965","CanadaTotal","1894"
"1966","CanadaTotal","1458"
"1967","CanadaTotal","1990"
"1968","CanadaTotal","1783"
"1969","CanadaTotal","1533"
"1970","CanadaTotal","1549"
"1971","CanadaTotal","1465"
"1972","CanadaTotal","1264"
"1973","CanadaTotal","1255"
"1974","CanadaTotal","1015"
"1975","CanadaTotal","1006"
"1976","CanadaTotal","1010"
"1977","CanadaTotal","1312"
"1978","CanadaTotal","1469"
"1979","CanadaTotal","1673"
"1980","CanadaTotal","1797"
"1981","CanadaTotal","1724"
"1982","CanadaTotal","2304"
"1983","CanadaTotal","2211"
"1984","CanadaTotal","2887"
"1985","CanadaTotal","3588"
"1986","CanadaTotal","3133"
"1987","CanadaTotal","1985"
"1988","CanadaTotal","2109"
"1989","CanadaTotal","1890"
"1990","CanadaTotal","1865"
"1991","CanadaTotal","1448"
"1992","CanadaTotal","1348"
"1993","CanadaTotal","1259"
"1994","CanadaTotal","1063"
"1995","CanadaTotal","751"
"1996","CanadaTotal","809"
"1997","CanadaTotal","1032"
"1998","CanadaTotal","941"
"1999","CanadaTotal","870"
"2000","CanadaTotal","857"
"2001","CanadaTotal","1273"
"2002","CanadaTotal","1282"
"2003","CanadaTotal","1477"
"2004","CanadaTotal","1327"
"2005","CanadaTotal","1269"
"2006","CanadaTotal","1358"
"2007","CanadaTotal","1500"
"2008","CanadaTotal","1427"
"2009","CanadaTotal","1620"
"2010","CanadaTotal","1760"
"2011","CanadaTotal","1719"
"2012","CanadaTotal","2022"
"2013","CanadaTotal","2398"
"2014","CanadaTotal","2650"
"2015","CanadaTotal","2867"
"2016","CanadaTotal","2812"
"2017","CanadaTotal","3112"
"2018","CanadaTotal","3870"
"2019","CanadaTotal","4257"
"2020","CanadaTotal","4834"
"2021","CanadaTotal","5083"
"2022","CanadaTotal","4642.1"
"2023","CanadaTotal","4607.2"
"2024","CanadaTotal",NA
"1960","ForeignTotal","963"
"1961","ForeignTotal","816"
"1962","ForeignTotal","511"
"1963","ForeignTotal","353"
"1964","ForeignTotal","762"
"1965","ForeignTotal","487"
"1966","ForeignTotal","362"
"1967","ForeignTotal","618"
"1968","ForeignTotal","327"
"1969","ForeignTotal","343"
"1970","ForeignTotal","131"
"1971","ForeignTotal","204"
"1972","ForeignTotal","114"
"1973","ForeignTotal","51"
"1974","ForeignTotal","149"
"1975","ForeignTotal","99"
"1976","ForeignTotal","87"
"1977","ForeignTotal","35"
"1978","ForeignTotal","18"
"1979","ForeignTotal","3"
"1980","ForeignTotal","44"
"1981","ForeignTotal","33"
"1982","ForeignTotal","59"
"1983","ForeignTotal","198"
"1984","ForeignTotal","222"
"1985","ForeignTotal","500"
"1986","ForeignTotal","244"
"1987","ForeignTotal","611"
"1988","ForeignTotal","280"
"1989","ForeignTotal","117"
"1990","ForeignTotal","395"
"1991","ForeignTotal","796"
"1992","ForeignTotal","107"
"1993","ForeignTotal","65"
"1994","ForeignTotal","91"
"1995","ForeignTotal","75"
"1996","ForeignTotal","42"
"1997","ForeignTotal","55"
"1998","ForeignTotal","74"
"1999","ForeignTotal","139"
"2000","ForeignTotal","87"
"2001","ForeignTotal","140"
"2002","ForeignTotal","178"
"2003","ForeignTotal","338"
"2004","ForeignTotal","113"
"2005","ForeignTotal","48"
"2006","ForeignTotal","20"
"2007","ForeignTotal","34"
"2008","ForeignTotal","33"
"2009","ForeignTotal","488"
"2010","ForeignTotal","132"
"2011","ForeignTotal","219"
"2012","ForeignTotal","201"
"2013","ForeignTotal","206"
"2014","ForeignTotal","313"
"2015","ForeignTotal","396"
"2016","ForeignTotal","394"
"2017","ForeignTotal","404"
"2018","ForeignTotal","343"
"2019","ForeignTotal","483"
"2020","ForeignTotal","493"
"2021","ForeignTotal","363.9"
"2022","ForeignTotal","317.9"
"2023","ForeignTotal","330.7"
"2024","ForeignTotal",NA
"1960","TAC",NA
"1961","TAC",NA
"1962","TAC",NA
"1963","TAC",NA
"1964","TAC",NA
"1965","TAC",NA
"1966","TAC",NA
"1967","TAC",NA
"1968","TAC",NA
"1969","TAC",NA
"1970","TAC",NA
"1971","TAC",NA
"1972","TAC",NA
"1973","TAC",NA
"1974","TAC",NA
"1975","TAC",NA
"1976","TAC",NA
"1977","TAC",NA
"1978","TAC",NA
"1979","TAC",NA
"1980","TAC",NA
"1981","TAC",NA
"1982","TAC",NA
"1983","TAC",NA
"1984","TAC",NA
"1985","TAC",NA
"1986","TAC",NA
"1987","TAC",NA
"1988","TAC","3200"
"1989","TAC","3200"
"1990","TAC","3200"
"1991","TAC","3200"
"1992","TAC","3200"
"1993","TAC","3200"
"1994","TAC","1500"
"1995","TAC","850"
"1996","TAC","850"
"1997","TAC","850"
"1998","TAC","850"
"1999","TAC","850"
"2000","TAC","1000"
"2001","TAC","1150"
"2002","TAC","1150"
"2003","TAC","1300"
"2004","TAC","1300"
"2005","TAC","1375"
"2006","TAC","1475"
"2007","TAC","1475"
"2008","TAC","1475"
"2009","TAC","1700"
"2010","TAC","1850"
"2011","TAC","1850"
"2012","TAC","2128"
"2013","TAC","2447"
"2014","TAC","2563"
"2015","TAC","2738"
"2016","TAC","3149"
"2017","TAC","3621"
"2018","TAC","4164"
"2019","TAC","4789"
"2020","TAC","5507"
"2021","TAC","5445"
"2022","TAC","4807"
"2023","TAC","4744"
"2024","TAC","4927"
"2024","MARFIS","4015"
