"Year","Canada3NOPS","Canada4VWX5Z","CanadaTotal","Foreign3NOPS","Foreign4VWX5Z","ForeignTotal","GrandTotal","TAC"
"1960-1969",638.4,1520.9,2159.3,492.2,62,554.2,2713.5,NA
"1970-1979",427.8,874,1301.8,73.7,15.4,89.1,1390.9,NA
"1980-1989",738.2,1624.6,2362.8,217,13.8,230.8,2593.6,NA
"1990-1999",323.2,815.4,1138.6,179.6,4.3,183.9,1322.5,1855
"2000-2009",460.9,878.1,1339,147.8,0.1,147.9,1486.9,1340
"2010",464,1296,1760,131,1,132,1892,1850
"2011",373,1346,1719,218,1,219,1938,1850
"2012",531,1491,2022,200,1,201,2223,2128
"2013",562,1836,2398,205,1,206,2604,2447
"2014",839,1811,2650,312,1,313,2963,2563
"2015",693,2174,2867,395,1,396,3263,2738
"2016",626,2186,2812,393,1,394,3206,3149
"2017",759,2353,3112,403,1,404,3516,3621
"2018",699,3171,3870,343,0,343,4213,4164
"2019",841,3416,4257,480,3,483,4740,4789
"2020",1142,3692,4834,492,1,493,5327,5507
"2021",1342,3741,5083,363,0.9,363.9,5446.9,5445
"2022",1613.7,3028.4,4642.1,317,0.9,317.9,4960,4807
"2023",1985.4,2621.8,4607.2,329.8,0.9,330.7,4937.9,4744
"2024",NA,NA,NA,NA,NA,NA,NA,4927
